N,D,sigma,tau,omega,Cp*
2,1,0.54,0.1200,0.533333,0.164097
4,2,0.54,0.1200,0.533333,0.164097
2,1,0.26,0.1200,0.366667,0.164003
4,1,0.72,0.1800,0.233333,0.163844
3,4,0.54,0.2100,0.233333,0.163443
4,1,0.36,0.2100,0.300000,0.163324
2,4,0.36,0.1500,0.266667,0.163194
3,2,0.26,0.1800,0.300000,0.162804
2,4,0.18,0.1500,0.333333,0.162568
3,1,0.72,0.1500,0.266667,0.162527
4,1,0.18,0.1500,0.366667,0.162385
2,1,0.54,0.1200,0.300000,0.162061
4,2,0.54,0.1200,0.300000,0.162061
2,4,0.18,0.2100,0.300000,0.161568
3,2,0.26,0.1500,0.333333,0.161519
4,3,0.18,0.1200,0.400000,0.161496
3,4,0.18,0.2100,0.833333,0.160979
2,2,0.18,0.1500,0.900000,0.160171
3,3,0.18,0.1500,0.900000,0.160171
4,4,0.18,0.1500,0.900000,0.160171
2,3,0.26,0.1200,0.800000,0.160144
2,2,0.26,0.2100,0.733333,0.160071
3,3,0.26,0.2100,0.733333,0.160071
4,4,0.26,0.2100,0.733333,0.160071
2,3,0.54,0.2100,0.533333,0.159762
4,3,0.36,0.1500,0.633333,0.159669
2,4,0.18,0.1200,0.366667,0.159527
2,2,0.54,0.1500,0.533333,0.158264
3,3,0.54,0.1500,0.533333,0.158264
4,4,0.54,0.1500,0.533333,0.158264
3,2,0.36,0.1500,0.633333,0.158165
2,4,0.18,0.1800,0.300000,0.158142
4,1,0.26,0.1800,0.300000,0.158044
4,1,0.18,0.2100,0.700000,0.157953
3,1,0.18,0.1500,0.366667,0.157934
2,4,0.26,0.1500,0.800000,0.157208
2,4,0.72,0.1200,0.466667,0.156959
3,3,0.72,0.1800,0.566667,0.155653
4,1,0.18,0.1800,0.333333,0.155576
3,4,0.18,0.1800,0.866667,0.154961
2,1,0.18,0.1800,0.733333,0.154738
4,2,0.18,0.1800,0.733333,0.154738
2,3,0.54,0.2100,0.233333,0.15471
2,3,0.54,0.1800,0.533333,0.154445
3,3,0.72,0.1800,0.233333,0.154408
3,1,0.72,0.2100,0.233333,0.154359
3,1,0.36,0.2100,0.300000,0.154187
2,3,0.72,0.1500,0.233333,0.154075
2,3,0.72,0.1200,0.466667,0.153671
2,3,0.26,0.2100,0.766667,0.15365
3,4,0.36,0.1500,0.666667,0.153556
3,4,0.72,0.1500,0.466667,0.153536
3,2,0.72,0.1500,0.233333,0.15321
2,3,0.18,0.2100,0.833333,0.153149
4,3,0.18,0.1800,0.833333,0.153012
3,4,0.54,0.1800,0.533333,0.152955
2,4,0.36,0.1800,0.666667,0.152732
3,1,0.26,0.1800,0.300000,0.15263
2,3,0.36,0.1500,0.266667,0.152608
3,2,0.72,0.1500,0.466667,0.152587
2,3,0.26,0.1200,0.333333,0.152578
3,1,0.18,0.1800,0.333333,0.152566
3,2,0.18,0.1200,0.766667,0.152211
4,1,0.54,0.2100,0.433333,0.152209
2,1,0.18,0.1200,0.400000,0.152167
4,2,0.18,0.1200,0.400000,0.152167
3,1,0.26,0.1500,0.700000,0.152102
4,1,0.72,0.1800,0.400000,0.152025
4,2,0.54,0.1500,0.266667,0.151914
2,3,0.26,0.1500,0.300000,0.151613
2,2,0.36,0.1200,0.666667,0.151177
3,3,0.36,0.1200,0.666667,0.151177
4,4,0.36,0.1200,0.666667,0.151177
4,3,0.18,0.1500,0.366667,0.150969
3,2,0.72,0.2100,0.200000,0.150864
2,3,0.26,0.1500,0.800000,0.15067
3,4,0.54,0.2100,0.533333,0.150417
4,1,0.54,0.1500,0.300000,0.150335
2,3,0.26,0.2100,0.266667,0.150296
3,2,0.54,0.1500,0.533333,0.15014
4,1,0.26,0.1500,0.333333,0.150129
2,1,0.18,0.1500,0.366667,0.150055
4,2,0.18,0.1500,0.366667,0.150055
4,2,0.26,0.1200,0.733333,0.149796
2,1,0.26,0.2100,0.700000,0.149754
4,2,0.26,0.2100,0.700000,0.149754
3,1,0.18,0.2100,0.700000,0.149693
3,1,0.54,0.2100,0.266667,0.148875
2,4,0.72,0.2100,0.233333,0.147945
2,3,0.72,0.1200,0.500000,0.147937
3,4,0.26,0.2100,0.266667,0.147784
3,2,0.72,0.1800,0.200000,0.147653
2,1,0.72,0.1800,0.200000,0.147456
2,3,0.26,0.1800,0.266667,0.147365
2,2,0.54,0.1800,0.533333,0.147231
4,4,0.54,0.1800,0.533333,0.147231
4,1,0.18,0.1500,0.766667,0.147041
4,2,0.72,0.1800,0.200000,0.147004
2,4,0.72,0.1800,0.233333,0.146857
2,2,0.18,0.1200,0.933333,0.146291
3,3,0.18,0.1200,0.933333,0.146291
4,4,0.18,0.1200,0.933333,0.146291
2,3,0.18,0.1800,0.300000,0.146081
3,4,0.26,0.1800,0.266667,0.146016
2,3,0.18,0.1800,0.866667,0.145889
2,2,0.18,0.2100,0.333333,0.145809
3,3,0.18,0.2100,0.333333,0.145809
4,4,0.18,0.2100,0.333333,0.145809
2,4,0.26,0.1800,0.266667,0.145639
3,1,0.54,0.1200,0.300000,0.145297
2,1,0.36,0.1800,0.266667,0.145165
4,2,0.36,0.1800,0.266667,0.145165
2,1,0.18,0.1800,0.333333,0.144712
4,2,0.18,0.1800,0.333333,0.144712
2,3,0.18,0.1200,0.366667,0.144548
3,2,0.36,0.2100,0.266667,0.144222
3,4,0.26,0.1200,0.333333,0.144199
3,2,0.18,0.1200,0.400000,0.144129
3,2,0.18,0.1500,0.366667,0.143567
2,1,0.36,0.1800,0.600000,0.143337
4,2,0.36,0.1800,0.600000,0.143337
4,3,0.36,0.1800,0.633333,0.143176
3,1,0.26,0.1500,0.333333,0.143107
4,3,0.72,0.1800,0.200000,0.143006
4,3,0.72,0.2100,0.466667,0.14293
2,3,0.72,0.2100,0.466667,0.142783
4,1,0.36,0.1800,0.266667,0.142472
2,4,0.26,0.2100,0.266667,0.142463
2,4,0.72,0.1500,0.466667,0.142304
2,1,0.26,0.1800,0.300000,0.142298
4,2,0.26,0.1800,0.300000,0.142298
2,2,0.54,0.1200,0.566667,0.14202
3,3,0.54,0.1200,0.566667,0.14202
4,3,0.54,0.1200,0.566667,0.14202
4,4,0.54,0.1200,0.566667,0.14202
3,1,0.72,0.1800,0.533333,0.141984
3,4,0.26,0.1800,0.766667,0.141876
4,3,0.72,0.2100,0.200000,0.141834
4,2,0.72,0.2100,0.200000,0.141753
3,4,0.18,0.1500,0.933333,0.141554
2,4,0.18,0.1500,0.933333,0.141344
4,3,0.72,0.1800,0.466667,0.141285
2,4,0.72,0.1800,0.466667,0.141276
3,2,0.72,0.1800,0.466667,0.141223
2,1,0.54,0.1500,0.333333,0.140869
2,3,0.18,0.1500,0.333333,0.140869
2,2,0.72,0.2100,0.466667,0.14074
3,3,0.72,0.2100,0.466667,0.14074
4,4,0.72,0.2100,0.466667,0.14074
2,3,0.54,0.1200,0.566667,0.140523
4,3,0.26,0.2100,0.300000,0.14039
3,4,0.36,0.1500,0.266667,0.140203
2,3,0.18,0.2100,0.300000,0.139791
2,1,0.54,0.2100,0.233333,0.139607
4,2,0.54,0.2100,0.233333,0.139607
3,4,0.18,0.1200,0.366667,0.139579
3,1,0.18,0.1500,0.766667,0.139391
2,3,0.36,0.1800,0.666667,0.139366
3,3,0.54,0.1800,0.666667,0.139366
4,3,0.18,0.1800,0.333333,0.139337
3,2,0.18,0.1800,0.333333,0.139097
4,1,0.54,0.1200,0.333333,0.138783
2,3,0.36,0.1200,0.700000,0.138778
3,4,0.26,0.1500,0.300000,0.138555
3,4,0.54,0.1500,0.233333,0.138499
4,1,0.54,0.1800,0.233333,0.138495
2,2,0.54,0.2100,0.533333,0.138389
3,3,0.54,0.2100,0.533333,0.138389
4,4,0.54,0.2100,0.533333,0.138389
2,3,0.72,0.1500,0.466667,0.138298
4,1,0.72,0.1200,0.433333,0.138277
2,2,0.18,0.1800,0.833333,0.137974
3,3,0.18,0.1800,0.833333,0.137974
4,4,0.18,0.1800,0.833333,0.137974
2,4,0.36,0.1200,0.700000,0.137967
2,4,0.72,0.2100,0.466667,0.13767
4,3,0.54,0.1500,0.533333,0.137302
4,1,0.54,0.2100,0.266667,0.137069
2,4,0.36,0.2100,0.666667,0.136948
2,3,0.36,0.1200,0.300000,0.136564
3,4,0.72,0.1200,0.500000,0.136236
3,1,0.72,0.1800,0.233333,0.135433
2,2,0.26,0.1500,0.766667,0.13532
3,3,0.26,0.1500,0.766667,0.13532
4,4,0.26,0.1500,0.766667,0.13532
4,1,0.72,0.2100,0.266667,0.135266
2,1,0.36,0.2100,0.600000,0.135135
4,2,0.36,0.2100,0.600000,0.135135
2,4,0.18,0.2100,0.866667,0.13495
2,3,0.72,0.1800,0.466667,0.134926
3,2,0.18,0.1800,0.733333,0.134891
3,4,0.36,0.1800,0.666667,0.134749
2,2,0.26,0.1200,0.333333,0.134582
3,3,0.26,0.1200,0.333333,0.134582
4,4,0.26,0.1200,0.333333,0.134582
4,1,0.72,0.1200,0.300000,0.13449
2,1,0.36,0.1500,0.300000,0.134342
4,2,0.36,0.1500,0.300000,0.134342
3,4,0.54,0.1200,0.566667,0.1343
2,1,0.26,0.1500,0.333333,0.13425
4,2,0.26,0.1500,0.333333,0.13425
2,4,0.54,0.2100,0.233333,0.134199
4,1,0.54,0.1200,0.300000,0.133815
2,4,0.54,0.1800,0.233333,0.133744
2,1,0.18,0.2100,0.700000,0.133527
4,2,0.18,0.2100,0.700000,0.133527
3,1,0.36,0.1800,0.266667,0.133517
3,4,0.18,0.1800,0.300000,0.133503
3,2,0.54,0.1200,0.566667,0.133302
3,1,0.54,0.1800,0.233333,0.133241
4,1,0.18,0.2100,0.333333,0.133048
4,4,0.72,0.1200,0.500000,0.132993
4,1,0.18,0.1200,0.800000,0.132679
2,2,0.72,0.1200,0.500000,0.13256
3,3,0.72,0.1200,0.500000,0.13256
2,4,0.18,0.1800,0.900000,0.1325
3,4,0.18,0.1500,0.333333,0.131939
2,3,0.54,0.1500,0.233333,0.130999
3,4,0.72,0.1800,0.466667,0.130725
4,3,0.18,0.2100,0.800000,0.130585
3,4,0.36,0.1200,0.300000,0.130212
2,1,0.54,0.1800,0.500000,0.129708
4,2,0.54,0.1800,0.500000,0.129708
3,1,0.18,0.2100,0.333333,0.12963
4,1,0.36,0.1500,0.300000,0.129354
2,2,0.36,0.1500,0.666667,0.129257
3,3,0.36,0.1500,0.666667,0.129257
4,4,0.36,0.1500,0.666667,0.129257
2,4,0.54,0.1200,0.566667,0.129209
2,3,0.72,0.1500,0.500000,0.129143
4,1,0.18,0.1800,0.766667,0.128875
2,4,0.36,0.1200,0.300000,0.128821
3,4,0.26,0.1200,0.800000,0.128587
4,3,0.18,0.1500,0.900000,0.128521
2,1,0.54,0.1500,0.933333,0.128364
2,3,0.18,0.1500,0.933333,0.128364
3,2,0.26,0.1500,0.733333,0.127387
2,1,0.18,0.1500,0.766667,0.127245
4,2,0.18,0.1500,0.766667,0.127245
4,3,0.36,0.2100,0.633333,0.126881
2,1,0.54,0.2100,0.500000,0.126773
4,2,0.54,0.2100,0.500000,0.126773
4,1,0.72,0.1500,0.266667,0.126698
4,3,0.26,0.1500,0.733333,0.126649
2,2,0.26,0.1800,0.266667,0.126535
3,3,0.26,0.1800,0.266667,0.126535
4,4,0.26,0.1800,0.266667,0.126535
3,1,0.18,0.1200,0.800000,0.126528
2,2,0.72,0.1800,0.200000,0.126402
4,4,0.72,0.1800,0.200000,0.126402
3,4,0.72,0.2100,0.466667,0.125696
4,3,0.72,0.1200,0.266667,0.125666
2,2,0.18,0.2100,0.800000,0.125435
3,3,0.18,0.2100,0.800000,0.125435
4,4,0.18,0.2100,0.800000,0.125435
4,2,0.54,0.1500,0.533333,0.124806
3,2,0.36,0.2100,0.633333,0.12413
3,2,0.26,0.2100,0.300000,0.123814
3,4,0.26,0.2100,0.766667,0.123814
2,2,0.18,0.1200,0.366667,0.123789
3,3,0.18,0.1200,0.366667,0.123789
4,4,0.18,0.1200,0.366667,0.123789
3,4,0.72,0.1200,0.266667,0.123528
2,4,0.72,0.1200,0.266667,0.123337
2,2,0.54,0.1500,0.233333,0.123074
3,3,0.54,0.1500,0.233333,0.123074
4,4,0.54,0.1500,0.233333,0.123074
2,1,0.18,0.2100,0.333333,0.123061
4,2,0.18,0.2100,0.333333,0.123061
2,3,0.72,0.1200,0.266667,0.122974
2,1,0.72,0.1500,0.233333,0.122813
4,2,0.72,0.1500,0.233333,0.122813
4,1,0.26,0.2100,0.300000,0.122809
3,1,0.36,0.1500,0.300000,0.12176
2,2,0.36,0.2100,0.233333,0.121758
3,3,0.36,0.2100,0.233333,0.121758
4,4,0.36,0.2100,0.233333,0.121758
2,1,0.72,0.1200,0.466667,0.121561
4,2,0.72,0.1200,0.466667,0.121561
2,1,0.72,0.1200,0.266667,0.121458
4,2,0.72,0.1200,0.266667,0.121458
3,4,0.18,0.2100,0.300000,0.121387
2,2,0.36,0.1800,0.233333,0.121248
3,3,0.36,0.1800,0.233333,0.121248
4,4,0.36,0.1800,0.233333,0.121248
4,3,0.26,0.1200,0.333333,0.120914
3,2,0.36,0.1200,0.666667,0.120829
4,3,0.54,0.1800,0.533333,0.120558
2,2,0.26,0.1500,0.300000,0.120462
3,3,0.26,0.1500,0.300000,0.120462
4,4,0.26,0.1500,0.300000,0.120462
3,1,0.18,0.1800,0.766667,0.120233
4,1,0.72,0.2100,0.400000,0.119808
4,1,0.18,0.1200,0.366667,0.119396
3,4,0.36,0.1800,0.233333,0.119353
3,2,0.54,0.1800,0.533333,0.119152
3,4,0.36,0.2100,0.233333,0.119048
3,2,0.18,0.2100,0.700000,0.118172
3,1,0.54,0.1500,0.266667,0.117964
3,2,0.18,0.2100,0.333333,0.11769
4,3,0.18,0.2100,0.333333,0.117654
3,2,0.36,0.1800,0.633333,0.117641
3,1,0.26,0.2100,0.300000,0.117407
2,3,0.36,0.1800,0.233333,0.117286
3,3,0.54,0.1800,0.233333,0.117286
2,1,0.26,0.1800,0.700000,0.117003
4,2,0.26,0.1800,0.700000,0.117003
2,2,0.36,0.1200,0.300000,0.116961
3,3,0.36,0.1200,0.300000,0.116961
4,4,0.36,0.1200,0.300000,0.116961
4,1,0.26,0.1200,0.333333,0.116832
3,1,0.18,0.1200,0.366667,0.116311
3,2,0.72,0.1200,0.266667,0.11623
2,4,0.26,0.1200,0.833333,0.115307
4,1,0.54,0.1500,0.266667,0.11506
2,4,0.72,0.1500,0.233333,0.115036
3,4,0.36,0.1200,0.700000,0.114829
2,1,0.18,0.1200,0.800000,0.114455
4,2,0.18,0.1200,0.800000,0.114455
4,3,0.36,0.1200,0.666667,0.113849
4,4,0.72,0.1200,0.266667,0.113543
2,2,0.72,0.1200,0.266667,0.113436
3,3,0.72,0.1200,0.266667,0.113436
2,3,0.36,0.2100,0.233333,0.113153
2,2,0.26,0.2100,0.266667,0.112964
3,3,0.26,0.2100,0.266667,0.112964
4,4,0.26,0.2100,0.266667,0.112964
3,4,0.72,0.1800,0.500000,0.112552
3,2,0.26,0.1200,0.333333,0.112087
2,4,0.54,0.1500,0.566667,0.112006
3,4,0.72,0.1500,0.500000,0.111987
2,1,0.36,0.1200,0.633333,0.111819
4,2,0.36,0.1200,0.633333,0.111819
3,1,0.54,0.2100,0.466667,0.111688
4,1,0.18,0.1800,0.300000,0.111573
3,4,0.36,0.2100,0.666667,0.111255
3,2,0.72,0.2100,0.466667,0.111124
3,2,0.18,0.1500,0.766667,0.111076
3,1,0.26,0.1200,0.333333,0.110746
2,2,0.72,0.1500,0.500000,0.11074
3,3,0.72,0.1500,0.500000,0.11074
4,4,0.72,0.1500,0.500000,0.11074
2,4,0.26,0.1800,0.800000,0.110403
4,3,0.54,0.1500,0.566667,0.110343
2,2,0.54,0.1200,0.266667,0.110198
3,3,0.54,0.1200,0.266667,0.110198
4,3,0.54,0.1200,0.266667,0.110198
4,4,0.54,0.1200,0.266667,0.110198
2,2,0.72,0.2100,0.200000,0.110196
3,3,0.72,0.2100,0.200000,0.110196
4,4,0.72,0.2100,0.200000,0.110196
2,4,0.36,0.1500,0.700000,0.110182
2,3,0.36,0.2100,0.666667,0.109515
2,3,0.54,0.1500,0.566667,0.108892
2,2,0.36,0.1500,0.266667,0.108841
3,3,0.36,0.1500,0.266667,0.108841
4,4,0.36,0.1500,0.266667,0.108841
2,1,0.18,0.1200,0.366667,0.108736
4,2,0.18,0.1200,0.366667,0.108736
3,1,0.18,0.1800,0.300000,0.10864
2,2,0.18,0.1800,0.300000,0.108446
3,3,0.18,0.1800,0.300000,0.108446
4,4,0.18,0.1800,0.300000,0.108446
2,3,0.26,0.1200,0.833333,0.108434
3,4,0.26,0.1500,0.800000,0.108425
2,2,0.18,0.1500,0.333333,0.108061
3,3,0.18,0.1500,0.333333,0.108061
4,4,0.18,0.1500,0.333333,0.108061
3,4,0.54,0.1500,0.566667,0.107924
3,1,0.72,0.1200,0.266667,0.107891
2,1,0.26,0.2100,0.300000,0.107776
4,2,0.26,0.2100,0.300000,0.107776
4,3,0.18,0.1200,0.366667,0.107512
4,3,0.36,0.1200,0.300000,0.107276
4,1,0.36,0.1200,0.600000,0.106851
2,1,0.72,0.1500,0.466667,0.106288
2,3,0.72,0.1500,0.500000,0.106288
4,2,0.72,0.1800,0.466667,0.106288
2,4,0.36,0.1800,0.233333,0.106284
2,2,0.54,0.1500,0.566667,0.105203
3,3,0.54,0.1500,0.566667,0.105203
4,4,0.54,0.1500,0.566667,0.105203
4,1,0.72,0.2100,0.233333,0.104404
4,3,0.54,0.2100,0.200000,0.104047
3,2,0.36,0.1200,0.300000,0.103579
4,1,0.18,0.1500,0.333333,0.103408
2,1,0.72,0.2100,0.366667,0.103379
3,4,0.18,0.2100,0.866667,0.103306
4,1,0.26,0.1800,0.266667,0.103296
4,1,0.36,0.2100,0.266667,0.103185
4,2,0.26,0.1200,0.333333,0.103091
2,1,0.18,0.1800,0.300000,0.103017
4,2,0.18,0.1800,0.300000,0.103017
2,1,0.54,0.1200,0.566667,0.102971
4,2,0.54,0.1200,0.566667,0.102971
3,4,0.18,0.1800,0.900000,0.102649
4,3,0.54,0.2100,0.533333,0.102348
2,4,0.72,0.1200,0.500000,0.102328
3,2,0.18,0.1200,0.366667,0.101926
3,2,0.54,0.1500,0.566667,0.101722
2,4,0.26,0.1500,0.266667,0.101706
4,3,0.54,0.1800,0.200000,0.101629
4,3,0.26,0.1800,0.266667,0.101384
3,2,0.18,0.1200,0.800000,0.101192
4,3,0.36,0.1800,0.233333,0.100971
3,1,0.72,0.1500,0.233333,0.100796
3,2,0.54,0.1800,0.200000,0.100588
2,4,0.54,0.1500,0.233333,0.100565
3,1,0.18,0.1500,0.333333,0.100557
2,1,0.26,0.1200,0.333333,0.100448
2,1,0.36,0.2100,0.266667,0.099639
4,2,0.36,0.2100,0.266667,0.099639
3,1,0.26,0.1800,0.266667,0.09955
2,4,0.26,0.2100,0.800000,0.099492
3,4,0.54,0.1200,0.600000,0.099357
2,1,0.18,0.1800,0.766667,0.099224
4,2,0.18,0.1800,0.766667,0.099224
2,4,0.18,0.2100,0.266667,0.098933
2,2,0.54,0.1200,0.600000,0.098384
3,3,0.54,0.1200,0.600000,0.098384
4,3,0.54,0.1200,0.600000,0.098384
4,4,0.54,0.1200,0.600000,0.098384
4,3,0.26,0.1500,0.300000,0.098208
3,2,0.18,0.1800,0.300000,0.098071
2,4,0.18,0.1800,0.266667,0.097746
4,3,0.18,0.1800,0.866667,0.097631
3,2,0.54,0.2100,0.200000,0.097469
3,4,0.72,0.1800,0.200000,0.097211
4,1,0.72,0.1200,0.266667,0.097112
4,1,0.36,0.1200,0.300000,0.097088
4,1,0.72,0.1800,0.200000,0.096985
2,4,0.36,0.2100,0.233333,0.096571
2,1,0.72,0.2100,0.166667,0.096161
4,3,0.54,0.1800,0.566667,0.096062
2,3,0.26,0.1800,0.800000,0.096024
2,4,0.18,0.1500,0.966667,0.09598
4,3,0.18,0.1800,0.300000,0.095895
3,1,0.36,0.2100,0.266667,0.095781
4,1,0.26,0.1500,0.300000,0.095766
3,2,0.54,0.2100,0.533333,0.095659
2,2,0.54,0.1800,0.200000,0.095027
4,4,0.54,0.1800,0.200000,0.095027
2,3,0.18,0.2100,0.866667,0.094983
2,4,0.18,0.1200,0.333333,0.094686
2,1,0.18,0.1500,0.333333,0.094551
4,2,0.18,0.1500,0.333333,0.094551
3,2,0.26,0.1800,0.266667,0.094522
3,2,0.54,0.1200,0.266667,0.094205
4,1,0.18,0.1500,0.800000,0.093952
2,1,0.54,0.1200,0.266667,0.093921
4,2,0.54,0.1200,0.266667,0.093921
3,1,0.36,0.1200,0.600000,0.093893
2,4,0.18,0.1500,0.300000,0.093794
2,1,0.36,0.1200,0.300000,0.09371
4,2,0.36,0.1200,0.300000,0.09371
2,3,0.18,0.1800,0.900000,0.09337
2,2,0.54,0.2100,0.200000,0.093248
3,3,0.54,0.2100,0.200000,0.093248
4,4,0.54,0.2100,0.200000,0.093248
4,2,0.72,0.2100,0.466667,0.092968
4,3,0.36,0.1500,0.266667,0.092713
2,3,0.54,0.1200,0.266667,0.092216
3,4,0.72,0.2100,0.500000,0.092114
4,3,0.54,0.1500,0.233333,0.091979
3,2,0.26,0.1500,0.300000,0.091917
3,4,0.54,0.1200,0.266667,0.091733
2,4,0.54,0.1800,0.566667,0.091559
2,4,0.54,0.1200,0.266667,0.091416
2,1,0.54,0.1800,0.533333,0.091029
4,2,0.54,0.1800,0.533333,0.091029
2,1,0.26,0.1800,0.266667,0.090991
4,2,0.26,0.1800,0.266667,0.090991
3,2,0.36,0.1800,0.233333,0.090988
4,1,0.54,0.1800,0.466667,0.090712
4,3,0.18,0.1500,0.333333,0.090674
2,4,0.18,0.1200,1.000000,0.09024
2,1,0.36,0.1500,0.633333,0.090104
4,2,0.36,0.1500,0.633333,0.090104
2,4,0.26,0.1200,0.300000,0.089867
3,1,0.26,0.1500,0.300000,0.089727
3,1,0.36,0.1200,0.300000,0.089434
4,2,0.72,0.1800,0.466667,0.08942
4,1,0.54,0.1200,0.266667,0.089178
3,2,0.18,0.1500,0.333333,0.08914
2,1,0.72,0.1800,0.466667,0.089121
2,1,0.36,0.1200,0.666667,0.088537
4,2,0.36,0.1200,0.666667,0.088537
2,2,0.72,0.2100,0.500000,0.088439
3,3,0.72,0.2100,0.500000,0.088439
4,4,0.72,0.2100,0.500000,0.088439
3,4,0.72,0.2100,0.200000,0.08837
2,3,0.18,0.1800,0.266667,0.088282
2,2,0.26,0.1800,0.766667,0.088176
3,3,0.26,0.1800,0.766667,0.088176
4,4,0.26,0.1800,0.766667,0.088176
3,1,0.72,0.2100,0.433333,0.087063
4,3,0.36,0.2100,0.233333,0.086878
4,1,0.18,0.2100,0.733333,0.086739
2,2,0.72,0.1500,0.200000,0.085874
3,3,0.72,0.1500,0.200000,0.085874
4,4,0.72,0.1500,0.200000,0.085874
2,3,0.26,0.2100,0.233333,0.085745
2,2,0.18,0.2100,0.300000,0.085742
3,3,0.18,0.2100,0.300000,0.085742
4,4,0.18,0.2100,0.300000,0.085742
4,1,0.72,0.1500,0.233333,0.085706
2,3,0.18,0.1200,0.333333,0.085561
3,1,0.18,0.1500,0.800000,0.08521
3,1,0.54,0.1200,0.266667,0.08501
2,3,0.26,0.1800,0.233333,0.084674
3,2,0.36,0.1500,0.266667,0.084608
3,2,0.54,0.1500,0.233333,0.084548
3,4,0.26,0.1800,0.233333,0.084194
2,4,0.54,0.2100,0.566667,0.084085
4,1,0.36,0.1800,0.233333,0.08387
3,4,0.26,0.2100,0.233333,0.083737
2,3,0.72,0.2100,0.500000,0.083338
3,4,0.36,0.1500,0.700000,0.082752
4,1,0.18,0.2100,0.300000,0.082718
3,4,0.18,0.1200,0.333333,0.082613
3,1,0.54,0.1200,0.533333,0.082611
2,3,0.54,0.1200,0.600000,0.08217
3,4,0.54,0.1800,0.200000,0.082074
2,4,0.26,0.1800,0.233333,0.081971
2,4,0.18,0.1800,0.933333,0.081924
3,4,0.26,0.1200,0.833333,0.08178
2,3,0.54,0.1800,0.566667,0.081502
2,3,0.36,0.1500,0.700000,0.081103
2,3,0.72,0.2100,0.200000,0.081056
2,1,0.26,0.1500,0.300000,0.081039
4,2,0.26,0.1500,0.300000,0.081039
2,3,0.72,0.1800,0.200000,0.08099
2,1,0.54,0.1500,0.300000,0.080787
2,3,0.18,0.1500,0.300000,0.080787
3,4,0.18,0.1800,0.266667,0.080469
2,3,0.18,0.2100,0.266667,0.080368
3,1,0.18,0.2100,0.300000,0.080193
2,1,0.54,0.1500,0.966667,0.080053
2,3,0.18,0.1500,0.966667,0.080053
2,4,0.36,0.1500,0.233333,0.080009
4,1,0.18,0.1200,0.833333,0.079926
2,3,0.26,0.1200,0.300000,0.079715
2,2,0.18,0.1800,0.866667,0.079685
3,3,0.18,0.1800,0.866667,0.079685
4,4,0.18,0.1800,0.866667,0.079685
2,4,0.26,0.2100,0.233333,0.079586
2,2,0.36,0.1800,0.666667,0.079495
3,3,0.36,0.1800,0.666667,0.079495
4,4,0.36,0.1800,0.666667,0.079495
3,1,0.18,0.2100,0.733333,0.079265
2,4,0.18,0.2100,0.900000,0.079253
2,2,0.26,0.1200,0.800000,0.079237
3,3,0.26,0.1200,0.800000,0.079237
4,4,0.26,0.1200,0.800000,0.079237
4,3,0.72,0.1200,0.500000,0.079093
3,2,0.18,0.1800,0.766667,0.078879
2,3,0.26,0.1500,0.266667,0.078624
4,1,0.54,0.2100,0.233333,0.078563
3,1,0.36,0.1800,0.233333,0.078366
2,4,0.36,0.1800,0.700000,0.078334
2,2,0.72,0.1800,0.500000,0.078212
4,4,0.72,0.1800,0.500000,0.078212
2,1,0.54,0.1800,0.200000,0.078108
4,2,0.54,0.1800,0.200000,0.078108
3,4,0.54,0.1800,0.566667,0.07797
4,1,0.26,0.1500,0.700000,0.077566
4,3,0.72,0.1800,0.500000,0.077463
2,4,0.54,0.1200,0.600000,0.076711
2,3,0.72,0.1200,0.533333,0.076541
3,1,0.54,0.2100,0.233333,0.076125
3,4,0.26,0.1200,0.300000,0.075664
2,3,0.26,0.1500,0.833333,0.075643
4,3,0.26,0.2100,0.266667,0.075379
2,1,0.18,0.2100,0.300000,0.075361
4,2,0.18,0.2100,0.300000,0.075361
4,1,0.36,0.1500,0.266667,0.075037
2,3,0.54,0.1800,0.200000,0.074694
2,4,0.72,0.1500,0.500000,0.074656
4,1,0.18,0.1200,0.333333,0.074493
3,4,0.18,0.1500,0.300000,0.074297
2,4,0.36,0.1200,0.733333,0.073887
2,1,0.36,0.1800,0.233333,0.07388
4,2,0.36,0.1800,0.233333,0.07388
2,3,0.36,0.1500,0.233333,0.073263
4,1,0.18,0.1800,0.266667,0.073176
3,3,0.72,0.1800,0.600000,0.072905
3,1,0.18,0.1200,0.833333,0.072573
2,1,0.18,0.1500,0.800000,0.072465
4,2,0.18,0.1500,0.800000,0.072465
4,3,0.72,0.1500,0.500000,0.072198
2,4,0.26,0.1500,0.833333,0.072141
3,1,0.18,0.1200,0.333333,0.072136
4,3,0.26,0.1800,0.733333,0.071951
3,1,0.72,0.2100,0.200000,0.071905
3,2,0.36,0.2100,0.233333,0.071849
2,3,0.54,0.2100,0.566667,0.071847
4,1,0.26,0.2100,0.266667,0.071747
4,3,0.18,0.2100,0.833333,0.071691
2,2,0.18,0.1200,0.333333,0.071641
3,3,0.18,0.1200,0.333333,0.071641
4,4,0.18,0.1200,0.333333,0.071641
3,1,0.18,0.1800,0.266667,0.071221
3,4,0.26,0.1500,0.266667,0.070894
3,3,0.72,0.1800,0.200000,0.070893
3,2,0.18,0.2100,0.300000,0.070885
4,3,0.72,0.1500,0.200000,0.070667
4,2,0.54,0.1500,0.233333,0.070642
